channel|id|sales|returns_|profit
NULL|NULL|1143386070.35|30882836.32|-319515193.94
catalog channel|NULL|394608381.01|9343100.52|-46571113.04
catalog channel|catalog_pageAAAAAAAAAAABAAAA|0.00|30656.60|-11568.42
catalog channel|catalog_pageAAAAAAAAAABBAAAA|0.00|3965.42|-979.73
catalog channel|catalog_pageAAAAAAAAAACBAAAA|0.00|3647.90|-1055.24
catalog channel|catalog_pageAAAAAAAAAADBAAAA|892629.39|55.30|-99034.82
catalog channel|catalog_pageAAAAAAAAAANAAAAA|0.00|68.40|-85.73
catalog channel|catalog_pageAAAAAAAAABABAAAA|1727407.42|12610.28|-207347.43
catalog channel|catalog_pageAAAAAAAAABBBAAAA|0.00|3102.71|-2165.64
catalog channel|catalog_pageAAAAAAAAABCBAAAA|0.00|52.36|-165.89
catalog channel|catalog_pageAAAAAAAAABDBAAAA|826665.15|0.00|-87103.86
catalog channel|catalog_pageAAAAAAAAACABAAAA|1765137.87|11409.33|-89157.12
catalog channel|catalog_pageAAAAAAAAACBBAAAA|0.00|1085.28|-392.80
catalog channel|catalog_pageAAAAAAAAACCBAAAA|0.00|2594.32|-1178.13
catalog channel|catalog_pageAAAAAAAAACDBAAAA|29420.36|0.00|-14906.22
catalog channel|catalog_pageAAAAAAAAACJAAAAA|0.00|1503.93|-688.39
catalog channel|catalog_pageAAAAAAAAADABAAAA|1783418.43|24246.82|-133735.26
catalog channel|catalog_pageAAAAAAAAADBBAAAA|0.00|4480.30|-5401.07
catalog channel|catalog_pageAAAAAAAAADCBAAAA|0.00|723.33|-502.97
catalog channel|catalog_pageAAAAAAAAADDBAAAA|64040.93|0.00|-10843.20
catalog channel|catalog_pageAAAAAAAAADJAAAAA|0.00|6614.02|-3491.51
catalog channel|catalog_pageAAAAAAAAAEABAAAA|1700897.37|11451.62|-189822.55
catalog channel|catalog_pageAAAAAAAAAEBBAAAA|0.00|2034.73|-919.03
catalog channel|catalog_pageAAAAAAAAAECBAAAA|0.00|82.56|-968.74
catalog channel|catalog_pageAAAAAAAAAEDBAAAA|48197.10|0.00|-13833.44
catalog channel|catalog_pageAAAAAAAAAEIAAAAA|0.00|78.08|-111.71
catalog channel|catalog_pageAAAAAAAAAEJAAAAA|0.00|4299.44|-1006.84
catalog channel|catalog_pageAAAAAAAAAFABAAAA|1632751.37|25506.67|-226438.48
catalog channel|catalog_pageAAAAAAAAAFBBAAAA|0.00|6002.04|-9977.06
catalog channel|catalog_pageAAAAAAAAAFDBAAAA|47752.71|0.00|-4284.31
catalog channel|catalog_pageAAAAAAAAAFIAAAAA|0.00|33.24|-1444.87
