channel|id|sales|returns_|profit
NULL|NULL|15405991388.33|299198315.45|-2129183902.55
catalog channel|NULL|13864215621.12|256765792.01|-1571903282.20
catalog channel|NULL|18892929.09|19751214.77|-13634483.68
catalog channel|1|1126842974.11|19751214.77|-125903524.42
catalog channel|2|1182863690.19|19751214.77|-122109682.02
catalog channel|5|1123522163.00|19751214.77|-139906212.60
catalog channel|7|1162024035.00|19751214.77|-129718668.16
catalog channel|8|1149864088.00|19751214.77|-131299743.81
catalog channel|11|1089732373.61|19751214.77|-130648099.13
catalog channel|13|1207291646.56|19751214.77|-130491090.02
catalog channel|14|1146677641.66|19751214.77|-129489692.44
catalog channel|17|1192998635.61|19751214.77|-135085404.62
catalog channel|19|1146215805.21|19751214.77|-123398041.30
catalog channel|20|1160003605.57|19751214.77|-138454601.64
catalog channel|23|1157286033.51|19751214.77|-121764038.36
store channel|NULL|1129567253.13|31659521.54|-509247108.32
store channel|1|22044195.56|632144.28|-10108409.88
store channel|2|20642265.25|643619.42|-9052991.06
store channel|4|21119852.47|569299.33|-9661259.64
store channel|7|22412195.39|655201.15|-10244884.33
store channel|8|23070569.57|628440.36|-10105412.70
store channel|10|21212272.32|623024.46|-10142760.10
store channel|13|23415609.31|573097.68|-10066108.97
store channel|14|22502635.97|660812.88|-9861520.31
store channel|16|21992035.72|608811.18|-9968697.17
store channel|19|23933651.78|547710.61|-10742513.38
store channel|20|22846772.19|669362.29|-10171186.09
store channel|22|22808443.79|647822.83|-10379631.23
store channel|25|23638564.63|614726.79|-10537110.25
store channel|26|22012272.96|594148.53|-9941188.26
store channel|28|22504529.08|617030.76|-10189464.11
store channel|31|22638880.98|644260.48|-10640130.47
store channel|32|22714350.65|683962.79|-10852553.82
store channel|34|21384901.40|623665.27|-9454058.27
store channel|37|22308396.78|597411.30|-9789424.06
store channel|38|24017527.04|591861.02|-10440798.81
store channel|40|22155654.83|672441.34|-9518771.12
store channel|43|22188483.86|553020.99|-9933456.88
store channel|44|21618992.20|647980.27|-9780124.44
store channel|46|22217356.31|632327.15|-9931307.16
store channel|49|22461708.26|612430.81|-10078504.24
store channel|50|20896023.51|574585.22|-9746653.33
store channel|52|21047531.16|639926.21|-8846549.03
store channel|55|22076676.21|625828.40|-10318224.34
store channel|56|21081338.62|600966.04|-9768720.22
store channel|58|21705042.97|563619.10|-9972125.82
store channel|61|22818486.53|664154.15|-10336184.00
store channel|62|21404004.00|611029.02|-9649867.74
store channel|64|23072463.30|606721.84|-10274601.81
store channel|67|22618242.05|676895.17|-10139885.71
store channel|68|21273573.57|684162.92|-9736812.15
store channel|70|20989714.73|586532.70|-9389777.76
store channel|73|21438960.32|588380.53|-9882329.04
store channel|74|22762200.21|662283.84|-10538805.52
store channel|76|20770608.84|553797.89|-9646656.63
store channel|79|21617971.53|608240.08|-9736664.50
store channel|80|23531234.36|583115.58|-10475622.81
store channel|82|21407527.67|605019.88|-9820957.42
store channel|85|23808304.15|559433.57|-10791425.05
store channel|86|21645395.29|600762.01|-9953882.27
store channel|88|22193177.83|669606.17|-9985227.66
store channel|91|21921494.82|630703.03|-9606217.88
store channel|92|21694663.14|598346.11|-9671045.01
store channel|94|20902485.30|621347.00|-9479833.90
store channel|97|22150521.89|709203.43|-9887920.52
store channel|98|22898305.73|605355.25|-10228726.84
store channel|100|21979187.10|684892.43|-9770124.61
web channel|NULL|412208514.08|10773001.90|-48033512.03
web channel|1|3868694.50|93461.71|-616226.69
web channel|2|3991556.52|97287.04|-513167.18
web channel|5|3908650.64|70068.07|-517348.98
web channel|7|3780137.74|143633.13|-490537.69
web channel|8|4115179.58|98001.99|-538468.93
web channel|11|3812010.09|36607.72|-489073.58
web channel|13|3829149.33|86943.67|-488079.98
web channel|14|3884781.41|92586.04|-548312.82
web channel|17|4418655.43|78502.28|-330527.45
web channel|19|4338507.90|136721.28|-338116.60
web channel|20|4385157.35|144549.24|-629977.18
web channel|23|4400093.78|76801.22|-391315.90
web channel|25|4154470.83|105976.76|-406985.51
web channel|26|4147094.15|126892.64|-449259.61
web channel|29|4086305.45|36016.53|-403979.04
web channel|31|4239803.53|139297.59|-430204.56
web channel|32|4114083.80|147015.04|-483457.36
web channel|35|3981346.53|87465.82|-591238.52
web channel|37|3932309.42|131727.61|-491523.42
web channel|38|3869946.43|103584.09|-503667.61
web channel|41|4265570.20|47820.30|-514833.99
web channel|43|4179102.53|129271.81|-400942.36
web channel|44|3814945.67|152826.77|-486209.84
web channel|47|3946704.07|81242.84|-450436.10
web channel|49|3909877.67|119710.10|-578629.82
web channel|50|3922965.04|75055.74|-382152.82
web channel|53|4104268.14|48924.46|-410366.63
web channel|55|3870807.98|119991.37|-599812.10
web channel|56|3991106.61|152320.02|-401906.27
web channel|59|4195571.73|57381.57|-411854.15
web channel|61|4221975.75|106806.46|-231479.22
web channel|62|4132604.19|164330.11|-421786.35
