i_manager_id|sum_sales|avg_monthly_sales
1|4050.77|8924.320833333333
1|4277.29|8924.320833333333
1|4290.48|8924.320833333333
1|4672.36|8924.320833333333
1|4774.21|8924.320833333333
1|4827.04|8924.320833333333
1|7195.06|8924.320833333333
1|12301.77|8924.320833333333
1|12444.81|8924.320833333333
1|12700.46|8924.320833333333
1|17004.30|8924.320833333333
1|18553.30|8924.320833333333
2|4530.40|8556.749166666666
2|4658.93|8556.749166666666
2|4919.99|8556.749166666666
2|4938.74|8556.749166666666
2|5278.72|8556.749166666666
2|5781.28|8556.749166666666
2|5888.45|8556.749166666666
2|9598.56|8556.749166666666
2|10948.24|8556.749166666666
2|11354.64|8556.749166666666
2|17082.52|8556.749166666666
2|17700.52|8556.749166666666
3|5669.94|11405.015833333333
3|6133.21|11405.015833333333
3|6339.65|11405.015833333333
3|6625.66|11405.015833333333
3|6877.07|11405.015833333333
3|7527.27|11405.015833333333
3|9125.42|11405.015833333333
3|13453.15|11405.015833333333
3|15285.50|11405.015833333333
3|15406.46|11405.015833333333
3|21933.06|11405.015833333333
3|22483.80|11405.015833333333
4|7069.03|12788.1175
4|7142.53|12788.1175
4|7212.95|12788.1175
4|7396.20|12788.1175
4|7409.42|12788.1175
4|8196.92|12788.1175
4|9254.77|12788.1175
4|15882.64|12788.1175
4|17019.77|12788.1175
4|17401.81|12788.1175
4|24668.10|12788.1175
4|24803.27|12788.1175
5|6524.77|12528.975
5|6982.49|12528.975
5|7006.43|12528.975
5|7066.34|12528.975
5|7220.82|12528.975
5|8212.17|12528.975
5|9911.99|12528.975
5|15010.13|12528.975
5|15031.08|12528.975
5|17472.32|12528.975
5|24001.89|12528.975
5|25907.27|12528.975
6|6011.47|11622.318333333333
6|6209.76|11622.318333333333
6|6366.89|11622.318333333333
6|6873.22|11622.318333333333
6|7414.21|11622.318333333333
6|7603.60|11622.318333333333
6|8362.04|11622.318333333333
6|14242.67|11622.318333333333
6|14315.18|11622.318333333333
6|15425.94|11622.318333333333
6|22709.62|11622.318333333333
6|23933.22|11622.318333333333
7|5662.94|11177.62
7|5891.03|11177.62
7|6253.61|11177.62
7|6320.85|11177.62
7|6480.22|11177.62
7|6747.34|11177.62
7|9128.26|11177.62
7|14047.42|11177.62
7|14568.25|11177.62
7|15924.58|11177.62
7|21145.26|11177.62
7|21961.68|11177.62
8|7415.68|15088.5725
8|7652.31|15088.5725
8|8435.49|15088.5725
8|9125.01|15088.5725
8|9305.73|15088.5725
8|9340.14|15088.5725
8|9470.98|15088.5725
8|18327.65|15088.5725
8|19112.72|15088.5725
8|21495.57|15088.5725
8|27137.80|15088.5725
8|34243.79|15088.5725
9|5803.50|11227.136666666667
9|6026.66|11227.136666666667
9|6383.67|11227.136666666667
9|6545.77|11227.136666666667
