ca_county|d_year|web_q1_q2_increase|store_q1_q2_increase|web_q2_q3_increase|store_q2_q3_increase
Alamosa County|2000|2.7017522301009245|1.1622691295463232|2.9836734435318246|1.4012703788256315
Albemarle County|2000|2.6525494006383417|1.0346973096663676|1.6558931587571026|1.6392430733769006
Alcona County|2000|2.057095482925882|1.060075553848124|2.6948697718954975|2.2016962456418883
Allegany County|2000|1.067044646384995|0.9571608230085785|1.9751115943044855|1.4598019636357387
Alpena County|2000|0.9308475705134965|0.8610262599114338|5.674600148712044|2.0961278622135247
Amherst County|2000|0.8396740064963684|0.667540796284506|3.4637257937040244|1.973591490775082
Anchorage Borough|2000|0.739924646073615|0.5113982662584988|3.5910678254832042|2.329663721608539
Anne Arundel County|2000|6.461081483812484|1.2319447745106573|2.42040389833831|1.0778644096579857
Anson County|2000|1.9355084549844843|0.6160977877166129|2.243914971755635|1.8758269859624057
Antelope County|2000|1.3993373531985895|1.0767862580118621|2.0763224297325387|1.8969302518639466
Apache County|2000|1.8244697552770042|0.6881881853920134|2.3119947784573758|2.054095533953646
Appomattox County|2000|2.9576736931934375|1.2337922139077946|0.9588602409337804|0.8365350829850746
Archer County|2000|0.8006251906015386|0.5191249089840506|2.2961299642573385|2.2303118896788607
Aroostook County|2000|1.2117025692958272|0.8814598156974013|1.9787168800026327|1.809850309229587
Ashland County|2000|1.0840109696970528|0.881962401501385|2.4295883683127797|2.182903946860565
Asotin County|2000|0.9926458585164112|0.8974246731757646|3.0535191092808858|2.6253022315141736
Audubon County|2000|3.3457934158169866|1.9034122234161577|1.4724958398159302|1.443825801340707
Bacon County|2000|1.271589776850374|1.0523099225945023|1.4029016969131405|1.3367182425699153
Barrow County|2000|1.5910127477847977|0.8843604168780974|1.8862200133461446|1.6355386408726662
Beadle County|2000|1.1493875645226928|0.7221133444861064|2.3541874333209174|2.057979844457075
Beaver County|2000|1.2298849513294599|1.1556263109906775|1.6087167431885052|1.4977479072900806
Belknap County|2000|1.4035896465211475|0.8992078442636628|1.9357722731051394|1.8500686063008112
Benton County|2000|1.082547979245571|0.9269753825987438|2.038402885575615|1.5512509972097523
Bernalillo County|2000|1.0599666108109105|1.016018195070592|6.449690737327737|2.274155119967191
Bienville Parish|2000|4.019889431874795|1.2401378993782386|2.3256855261534137|0.8785910076134432
Billings County|2000|1.4824650807113684|1.2741706090728493|1.727631157145174|1.2840448448362471
Blaine County|2000|1.2751612563804378|1.143860581254028|1.9786658563702657|1.7702859604315595
Bland County|2000|1.0013358705786775|0.6764108429100536|2.813526553455547|2.1672706230871506
Blount County|2000|2.0281033866060105|1.0205121730991855|3.048868310095244|1.5181694474701466
Bon Homme County|2000|1.210127607528357|0.8827269722610682|2.7914828859451917|1.4243788314530055
Borden County|2000|1.6660974495163747|0.7492266367026131|2.683382898318816|2.1463934597879026
Botetourt County|2000|0.7931667775266414|0.7090459024927362|4.20691823462563|2.3014656922765147
Boulder County|2000|0.7620129990165705|0.6858768753249244|2.315411965311861|2.291053255745197
Bowie County|2000|1.149845119654581|0.7559184049640829|1.8258580759122731|1.6978705179230718
Boyd County|2000|0.9672215215982162|0.651337862306448|2.282962963520686|1.8976534612058193
Boyle County|2000|0.9272639410145807|0.4634136842287001|4.393985891368373|3.29580787712942
Bradford County|2000|1.1891176839146695|1.1118832222853428|1.9857534193640958|1.9824394012055389
Burleigh County|2000|1.2641840308790337|0.9430897428047321|2.5199863880818754|1.3469552875012583
Butte County|2000|0.9733811493849786|0.8301037364927237|1.7226494431486423|1.6442932474155958
Caddo Parish|2000|1.2423742603915735|0.4424609699929361|2.606008278783772|2.4487332175079772
Calcasieu Parish|2000|1.2449928856853896|0.9730104832343834|3.2612310147121764|2.045310291075399
Camas County|2000|0.8093960139415713|0.6378525642080333|3.1264284789995576|2.855991150768544
Cambria County|2000|12.27808403646573|1.1481087152015095|2.083096672005669|1.3607480447078144
Cameron County|2000|1.2312851548148793|0.6330717062488881|1.9398629948492734|1.928224080811933
Carteret County|2000|1.1775617158695928|1.1700872794850974|3.31001729075768|2.014941535879623
Casey County|2000|1.5871896682699973|1.2619743037846836|1.734507465944305|1.3585566947007992
Cass County|2000|1.3105888991609254|0.9633545156189991|1.8350390789810163|1.7260833990185918
Cassia County|2000|1.457240349181476|0.8413389734541648|2.223049315107786|1.5293651243244013
Caswell County|2000|1.1308234771810777|0.735203184726669|2.778626414211844|1.781931894942516
Catawba County|2000|0.9799446376359018|0.79545495511689|4.99941589627205|1.8057458654529086
Chariton County|2000|1.0178291066682432|0.9883777706798991|2.6281722395044933|2.6088847684339664
Charles Mix County|2000|0.729755965403909|0.6803567261427227|3.4250481960444827|2.5766934808412696
Charlottesville city|2000|1.9875533085074404|1.134302089224674|3.6552413760936604|1.1171070528889633
Charlton County|2000|1.70197358623106|1.1713815542517916|1.8003159992147437|1.1919633288048368
Chattahoochee County|2000|1.2254219246354108|0.9062682801584493|2.0323127988938197|1.5079292349287332
Chattooga County|2000|1.339102479073536|0.822177520092918|2.22653728245377|1.712471873205207
Chautauqua County|2000|1.2009102373323488|1.083401573053357|2.410586283552935|1.5864863743546083
Cheatham County|2000|1.0975685334814065|0.5694891349441439|2.776222379978108|1.8863566477271883
