item_id|ss_item_rev|ss_dev|cs_item_rev|cs_dev|ws_item_rev|ws_dev|average
AAAAAAAAANPJAAAA|6257.95|102.50672272348788|5883.36|96.37084863293246|6173.44|101.12242864357961|6104.916666666667
AAAAAAAACABNAAAA|7535.11|102.42253743204779|7248.55|98.52741150468542|7287.00|99.0500510632668|7356.886666666666
AAAAAAAACCKCBAAA|1940.77|97.03801480992595|2037.86|101.8924905375473|2021.40|101.06949465252674|2000.01
AAAAAAAACFPFBAAA|13270.81|100.71401142114706|12730.93|96.6167874773148|13528.44|102.66920110153812|13176.726666666667
AAAAAAAACIMJAAAA|3929.47|96.3725042163548|4270.50|104.73646045292193|4032.16|98.89103533072327|4077.3766666666666
AAAAAAAAEBNEAAAA|4067.31|100.97224199052665|4156.18|103.17846751690605|3860.95|95.84929049256729|4028.146666666667
AAAAAAAAEEAOAAAA|8483.91|101.28276145292878|8379.71|100.03879920634728|8265.76|98.67843934072388|8376.460000000001
AAAAAAAAEHBHAAAA|6907.04|96.85509074064899|7359.56|103.20062597165366|7127.34|99.94428328769736|7131.313333333333
AAAAAAAAEMKPAAAA|9163.42|103.50911014635726|8487.99|95.87951789082886|8906.89|100.61137196281389|8852.766666666666
AAAAAAAAFCDIBAAA|5280.39|97.01225546633484|5737.96|105.41881212857585|5310.69|97.56893240508933|5443.013333333333
AAAAAAAAFGKNAAAA|5439.17|104.46355349356512|5220.90|100.27150584272123|4960.22|95.26494066371367|5206.763333333333
AAAAAAAAFNCHBAAA|3895.04|100.22179795287178|4027.80|103.63779519454923|3736.42|96.14040685257899|3886.42
AAAAAAAAFPFGAAAA|7010.01|94.88321665827473|7500.39|101.52070102489972|7653.72|103.59608231682557|7388.04
AAAAAAAAHIGHAAAA|8610.03|101.64612632409067|8192.35|96.71518484734247|8609.40|101.63868882856693|8470.593333333332
AAAAAAAAHOIFAAAA|8906.49|101.01099952971491|8759.26|99.34122283196307|8786.29|99.64777763832204|8817.346666666666
AAAAAAAAIEKGAAAA|3669.24|102.31211938700395|3641.34|101.53416315331594|3448.38|96.15371745968014|3586.3199999999997
AAAAAAAAKLLIBAAA|11654.28|98.1915241984813|11428.56|96.28975155855149|12523.94|105.51872424296722|11868.926666666666
AAAAAAAALIJJAAAA|2862.22|99.51774805378135|2776.68|96.54357130687843|2989.37|103.93868063934019|2876.09
AAAAAAAAMADCAAAA|5343.19|96.26987759043784|5634.14|101.51201213645584|5673.33|102.21811027310628|5550.22
AAAAAAAAMDMBBAAA|6864.45|99.00187347032373|7233.36|104.32244265531847|6703.16|96.67568387435777|6933.656666666667
AAAAAAAAMFMFBAAA|7153.05|96.27992995424952|7821.48|105.27698625601157|7313.76|98.44308378973892|7429.43
AAAAAAAAMGFIBAAA|2591.11|98.0086417433778|2570.88|97.24344272733119|2769.28|104.74791552929103|2643.7566666666667
AAAAAAAAMHEDAAAA|9048.14|95.9608950555309|9498.88|100.74126028389053|9739.94|103.2978446605786|9428.986666666666
AAAAAAAAMOODAAAA|8371.18|103.31690616271909|8277.32|102.15848825599234|7658.79|94.52460558128857|8102.43
AAAAAAAANAOEAAAA|4007.86|97.86255950787022|3983.47|97.26701280055084|4294.86|104.87042769157891|4095.396666666667
AAAAAAAANCKFBAAA|4246.77|101.00575179669322|4372.36|103.99280133508277|3994.32|95.001446868224|4204.483333333334
AAAAAAAANKLJAAAA|9075.06|100.12979088918712|9058.72|99.94950328964184|9056.11|99.92070582117103|9063.296666666667
AAAAAAAAOFBFBAAA|3226.96|99.04949773782508|3340.28|102.52778351876142|3206.54|98.4227187434135|3257.9266666666667
AAAAAAAAONGCAAAA|8614.89|103.99913886245338|7901.72|95.38973515996435|8334.24|100.61112597758226|8283.616666666667
AAAAAAAAPMANAAAA|2103.48|99.45610288497151|2188.98|103.49868793292305|2052.49|97.04520918210545|2114.983333333333
AAAAAAAAPNLBAAAA|2358.16|97.80743169912638|2364.15|98.05587392352074|2510.76|104.13669437735294|2411.023333333333
